Time(seconds),Latitude ,Longitude
1,32.8009862,74.8973486
2,32.8010068,74.8973139
3,32.8009966,74.8973273
4,32.8009932,74.8973324
5,32.800993,74.8973354
6,32.8009918,74.8973376
7,32.8009873,74.8973452
8,32.8009847,74.8973507
9,32.8009854,74.8973514
10,32.800985,74.8973513
11,32.8009862,74.8973486
12,32.800985,74.8973505
13,32.8009851,74.897352
14,32.8009836,74.8973541
15,32.800986,74.89735
16,32.8009897,74.8973459
17,32.8009925,74.8973443
18,32.8009942,74.8973419
19,32.8009955,74.8973426
20,32.8009957,74.8973431
21,32.8009968,74.8973446
22,32.8009952,74.8973451
23,32.8009957,74.8973418
24,32.8009989,74.8973378
25,32.8010001,74.8973348
26,32.8010002,74.8973336
27,32.8010012,74.8973301
28,32.801005,74.8973236
29,32.8010029,74.8973259
30,32.8010003,74.897328
31,32.8010017,74.8973273
32,32.8009995,74.8973273
33,32.8010028,74.8973234
34,32.8010046,74.8973237
35,32.8010054,74.8973252
36,32.8010072,74.8973262
37,32.8010073,74.8973283
38,32.801007,74.8973284
39,32.8010074,74.897327
40,32.8010096,74.8973266
41,32.8010087,74.8973284
42,32.801007,74.8973309
43,32.8010056,74.8973333
44,32.8010066,74.8973334
45,32.8010081,74.897335
46,32.8010079,74.8973368
47,32.8010055,74.8973391
48,32.8010061,74.8973376
49,32.8010034,74.8973394
50,32.801001,74.8973406
51,32.800998,74.8973408
52,32.8009948,74.897339
53,32.8009934,74.8973371
54,32.8009906,74.8973406
55,32.8009877,74.8973461
56,32.8009875,74.8973495
57,32.8009917,74.8973445
58,32.8009925,74.8973448
59,32.8009913,74.8973482
60,32.8009893,74.8973509
61,32.8009865,74.8973538
62,32.8009857,74.8973541
63,32.8009844,74.897353
64,32.8009835,74.8973538
65,32.8009827,74.8973556
66,32.8009822,74.8973591
67,32.8009866,74.8973565
68,32.8009894,74.8973561
69,32.8009908,74.8973572
70,32.8009921,74.8973601
71,32.8009933,74.8973642
72,32.8009938,74.8973669
73,32.8009944,74.8973679
74,32.8009934,74.8973681
75,32.8009962,74.897363
76,32.8009982,74.8973618
77,32.8010013,74.8973574
78,32.8009989,74.8973599
79,32.800999,74.8973554
80,32.8009991,74.8973467
81,32.8009967,74.8973419
82,32.8009963,74.8973349
83,32.8009971,74.8973281
84,32.8009965,74.8973254
85,32.8009944,74.8973197
86,32.8009923,74.8973152
87,32.8009918,74.8973152
88,32.8009926,74.8973116
89,32.8009932,74.8973118
90,32.800994,74.897309
91,32.8009944,74.89731
92,32.8009951,74.8973108
93,32.8009971,74.897308
94,32.8009988,74.897307
95,32.801002,74.8973053
96,32.8010042,74.8973034
97,32.8010044,74.8973031
98,32.801003,74.8973042
99,32.8010021,74.8973052
100,32.801002,74.897307
