year,per capita Income (regression)
1980,8150.091085509164
1981,8978.55616073194
1982,9807.021235954482
1983,10635.486311177257
1984,11463.951386400033
1985,12292.416461622808
1986,13120.88153684535
1987,13949.346612068126
1988,14777.811687290901
1989,15606.276762513444
1990,16434.74183773622
1991,17263.206912958995
1992,18091.67198818177
1993,18920.137063404312
1994,19748.602138627088
1995,20577.067213849863
1996,21405.532289072406
1997,22233.99736429518
1998,23062.462439517956
1999,23890.92751474073
2000,24719.392589963274
2001,25547.85766518605
2002,26376.322740408825
2003,27204.7878156316
2004,28033.252890854143
2005,28861.717966076918
2006,29690.183041299693
2007,30518.648116522236
2008,31347.11319174501
2009,32175.578266967786
2010,33004.04334219056
2011,33832.508417413104
2012,34660.97349263588
2013,35489.438567858655
2014,36317.9036430812
2015,37146.36871830397
2016,37974.83379352675
2017,38803.29886874952
2018,39631.763943972066
2019,40460.22901919484
2020,41288.69409441762
2021,42117.15916964039
2022,42945.624244862935
2023,43774.08932008571
2024,44602.554395308485
2025,45431.01947053103
2026,46259.4845457538
2027,47087.94962097658
2028,47916.414696199354
2029,48744.879771421896
2030,49573.34484664467
2031,50401.80992186745
2032,51230.27499708999
2033,52058.740072312765
2034,52887.20514753554
2035,53715.670222758316
2036,54544.13529798086
2037,55372.60037320363
2038,56201.06544842641
2039,57029.530523649184
2040,57857.99559887173
2041,58686.4606740945
2042,59514.92574931728
2043,60343.39082453982
2044,61171.855899762595
2045,62000.32097498537
2046,62828.786050208146
2047,63657.25112543069
2048,64485.71620065346
2049,65314.18127587624
2050,66142.64635109878
